"Year","Reference_Number","Grid_Ref_Easting","Grid_Ref_Northing","Number_of_Vehicles","Number_of_Casualties","Accident_Date","Time","Road_Class","Road_Surface","Lighting_Conditions","Weather_Conditions","Casualty_Class","Casualty_Severity","Sex_of_Casualty","Age_of_Casualty","Type_of_Vehicle"
"2013","130011028","423018","437654","2","1","7_1_2013","700","A (back roads)","Dry","Darkness (streetlights present and lit)","Fine w/o high winds","Driver or rider","Slight","Male","37","Bicycle"
"2013","130011110","426946","435422","2","3","8_1_2013","1725","Unclassified","Dry","Darkness (streetlighting unknown)","Fine w/o high winds","Driver or rider","Slight","Male","45","Car"
"2013","130011110","426946","435422","2","3","8_1_2013","1725","Unclassified","Dry","Darkness (streetlighting unknown)","Fine w/o high winds","Vehicle or pillion passenger","Slight","Male","9","Car"
"2013","130011110","426946","435422","2","3","8_1_2013","1725","Unclassified","Dry","Darkness (streetlighting unknown)","Fine w/o high winds","Vehicle or pillion passenger","Slight","Female","7","Car"
"2013","130011249","429694","432311","2","1","8_1_2013","1822","Unclassified","Dry","Darkness (streetlighting unknown)","Fine w/o high winds","Driver or rider","Slight","Female","23","Car"
"2013","130011680","431874","435944","2","1","9_1_2013","645","B (regional road)","Dry","Darkness (streetlighting unknown)","Fine w/o high winds","Driver or rider","Slight","Male","21","Bicycle"
"2013","130011714","422183","428749","2","1","9_1_2013","725","B (regional road)","Wet","Darkness (streetlights present but unlit)","Fine w/o high winds","Driver or rider","Serious","Male","52","Motorcycle over 500cc"
"2013","130011841","434559","434440","2","1","9_1_2013","730","A (back roads)","Dry","Darkness (streetlighting unknown)","Fine w/o high winds","Driver or rider","Slight","Male","29","Bicycle"
"2013","130011867","419494","437015","3","2","9_1_2013","810","Unclassified","Dry","Daylight (streetlights present)","Fine w/o high winds","Driver or rider","Slight","Female","30","Car"
"2013","130011867","419494","437015","3","2","9_1_2013","810","Unclassified","Dry","Daylight (streetlights present)","Fine w/o high winds","Driver or rider","Slight","Female","56","Car"
"2013","130012290","434960","433393","1","1","9_1_2013","1310","A (back roads)","Dry","Daylight (streetlights present)","Fine w/o high winds","Pedestrian","Slight","Female","72","Car"
"2013","130012331","439471","446163","1","1","9_1_2013","1250","A (back roads)","Dry","Daylight (streetlights present)","Fine w/o high winds","Driver or rider","Slight","Male","49","Motorcycle >50cc and <=125cc"
"2013","130012588","430496","425026","1","1","9_1_2013","1515","Unclassified","Dry","Daylight (streetlights present)","Fine w/o high winds","Pedestrian","Slight","Female","55","Car"
"2013","130012756","431884","435154","2","1","9_1_2013","1743","Unclassified","Dry","Darkness (streetlighting unknown)","Fine w/o high winds","Driver or rider","Slight","Male","41","Car"
"2013","130012828","431983","435510","2","1","9_1_2013","1816","Unclassified","Dry","Darkness (streetlighting unknown)","Fine w/o high winds","Driver or rider","Slight","Male","35","Car"
"2013","130012900","430266","433985","2","1","9_1_2013","1800","Unclassified","Dry","Darkness (streetlighting unknown)","Fine w/o high winds","Driver or rider","Slight","Male","52","Motorcycle >50cc and <=125cc"
"2013","130012940","427034","432971","2","2","9_1_2013","1711","Unclassified","Dry","Darkness (streetlights present but unlit)","Fine w/o high winds","Vehicle or pillion passenger","Slight","Male","19","Taxi/Private hire car"
"2013","130012940","427034","432971","2","2","9_1_2013","1711","Unclassified","Dry","Darkness (streetlights present but unlit)","Fine w/o high winds","Vehicle or pillion passenger","Slight","Male","20","Taxi/Private hire car"
